Date ,Description,Type,Amount Spent ,Credit or Debit,,,MONTHLY BUDGET:,$500 ,(except Nov-Dec)
09-Sep,Example,Fast Food,5.93,Credit,,,AMOUNT REMAINING THIS MONTH,$43 ,
09-Sep,Example,Fast Food,12.41,Credit,,,AMOUNT SPENT THIS MONTH:,$456.79 ,
10-Sep,Example,Fast Food,5.25,Credit,,,,,
13-Sep,Example,Fast Food,4.8,Credit,,,Reset every 10th of the month ,,
13-Sep,Example,Shopping,14.24,Credit,,,,,
15-Sep,Example,Fast Food,9.03,Credit,,,,,
18-Sep,Example,Restaurant,13.16,Credit,,,,,
18-Sep,Example,Restaurant,9.03,Credit,,,,,
18-Sep,Example,Fast Food,5.53,Credit,,,Sub Totals:,,
18-Sep,Example,Miscellaneous,20,Credit,,,Fast Food,91.9,
19-Sep,Example,Miscellaneous,50,Credit,,,Restaurant ,38,
20-Sep,Example,Fast Food,16.09,Credit,,,Shopping ,81.98,
21-Sep,Example,Fast Food,12.05,Credit,,,Subscriptions ,100.55,
22-Sep,Example,Fast Food,5,Debit,,,Miscellaneous ,144.36,
23-Sep,Example,Miscellaneous,13.56,Credit,,,School ,0,
24-Sep,Example,Fast Food,4.8,Credit,,,Travel ,0,
24-Sep,Example,Subscriptions,94.91,Credit,,,,,
25-Sep,Example,Subscriptions,5.64,Credit,,,,,
28-Sep,Example,Restaurant,15.81,Credit,,,,,
30-Sep,Example,Fast Food,5.93,Credit,,,,,
30-Sep,Example,Fast Food,2.57,Credit,,,,,
01-Oct,Example,Miscellaneous,11.3,Credit,,,,,
02-Oct,Example,Shopping,67.74,Credit,,,,,
02-Oct,Example,Miscellaneous,9.5,Debit,,,,,
06-Oct,Example,Fast Food,2.51,Credit,,,,,
06-Oct,Example,Miscellaneous,40,Debit,,,,,