Date ,Description,Type,Amount_Spent,credit_debit
2023-11-01,CVS,House,5.69,Credit
2023-11-03,penelopes coffee,Takeout,4.95,Credit
2023-11-06,safeway,Grocery,3.54,Credit
2023-11-06,paddleboard yoga,Motives,17.46,Credit
2023-11-06,shef,Grocery,25.82,Credit
2023-11-06,chipotle,Takeout,11.57,Credit
2023-11-08,whole foods ,Grocery,12.18,Credit
2023-11-10,penelopes coffee,Takeout,5.2,Credit
2023-11-10,clipper,School,20,Credit
2023-11-13,shef,Grocery,24.34,Credit
2023-11-13,jai ho ,Grocery,23.85,Credit
2023-11-14,safeway,Grocery,50.06,Credit
2023-11-17,tarragon cafe,Takeout,6.25,Credit
2023-11-17,hollister,Clothes Shopping,108.36,Credit
2023-11-17,nick the greek,Takeout,13.58,Credit
2023-11-18,amazon,House,24.93,Credit
2023-11-18,luckys,Grocery,33,Credit
2023-11-12,diwali lunch,Motives,29.11,Debit
2023-11-20,clipper,School,20,Credit
2023-11-20,shef ,Grocery,30.79,Credit
2023-11-22,amazon,House,16.28,Credit
2023-11-22,key food ,Grocery,3.59,Credit
2023-11-23,cvs ,House,9.79,Credit
2023-11-23,luckys ,Motives,8.24,Credit
2023-11-24,aritzia ,Clothes Shopping,66.73,Credit
2023-11-24,sephora,Other Shopping,76.69,Credit
2023-11-25,club ,Motives,58,Credit
2023-11-26,safeway + jai ho,Grocery,113.25,Credit
2023-11-27,spotify,Subscriptions,5.99,Credit
2023-11-30,woodlands market lunch,Takeout,4.5,Credit
2023-11-30,amazon,Miscellaneous,28.23,Credit
2023-12-01,penelopes,Takeout,4.45,Credit
2023-12-04,doordash,Takeout,16.81,Credit
2023-12-04,clipper,School,20,Credit
2023-12-04,trader joes ,Grocery,22.72,Credit
2023-12-04,woodloands market,Takeout,13.49,Credit
2023-12-05,cafe reveille,Takeout,6.13,Credit
2023-12-05,fake whole foods,Grocery,27.69,Credit
2023-12-06,shef,Grocery,25.19,Credit
2023-12-08,cvs,Miscellaneous,53.15,Credit
2023-12-11,safeway,Grocery,86.46,Credit
2023-12-11,tarragon,Takeout,6.87,Credit
2023-12-12,shef,Grocery,27.79,Credit
2023-12-13,latte usf,Takeout,6.25,Credit
2023-12-13,amazon,Miscellaneous,25.94,Credit
2023-12-15,laundry,Miscellaneous,25,Credit
2023-12-15,boba,Takeout,6,Credit
2023-12-15,clipper,School,10,Credit
2023-12-16,philz ,Takeout,4.61,Credit
2023-12-16,sf sweaters ,Travel,92.64,Credit
2023-12-17,brunch,Motives,25.83,Credit
2023-12-17,daiso,Miscellaneous,6.77,Credit
2023-12-17,marufuku,Motives,21.69,Credit
2023-12-18,trader joes ,Grocery,30.69,Credit
2023-12-18,safeway,Grocery,16.13,Credit
2023-12-18,mcds ,Takeout,12.38,Credit
2023-12-18,tarragon,Takeout,29.33,Credit
2023-12-19,target,Miscellaneous,21.41,Credit
2023-12-19,crepes,Motives,25.83,Credit
2023-12-20,tpumps,Takeout,2.5,Credit
2023-12-20,tarragon,Motives,29.33,Credit
2023-12-20,trader joes ,Grocery,5.48,Credit
2023-07-04,Mcds w baba,Takeout,12.25,Debit
2023-07-10,et bhumika first 2 weeks,Motives,60.14,Debit
2023-07-04,target ,Miscellaneous,77.19,Credit
2023-07-04,key food market,Grocery,8.83,Credit
2023-07-07,joe the juice ,Takeout,15.84,Credit
2023-07-10,jai ho grocery,Grocery,54.11,Credit
2023-07-10,safeway,Grocery,94.32,Credit
2023-07-10,burgers + dinner,Takeout,28.8,Credit
2023-07-11,target ,Miscellaneous,142.94,Credit
2023-07-11,coffee,Takeout,6.5,Credit
2023-07-12,cvs,Miscellaneous,3.19,Credit
2023-07-12,indian oven,Takeout,18.16,Credit
2023-07-12,amazon ,Miscellaneous,80.73,Credit
2023-07-13,laundry prepay,Miscellaneous,10,Credit
2023-07-13,boba,Motives,8.41,Credit
2023-07-17,sightglass coffee,Motives,10.7,Credit
2023-07-17,safeway,Grocery,107.61,Credit
2023-07-17,souvla w alicia,Motives,21.23,Credit
2023-07-17,coffee,Takeout,8.91,Credit
2023-07-20,jai ho grocery,Grocery,9.87,Credit
2023-07-20,utilities,Miscellaneous,4.44,Credit
2023-07-20,clipper prepay,Miscellaneous,20,Credit
2023-07-20,doordash,Takeout,31.92,Credit
2023-07-21,key food market,Grocery,10.58,Credit
2023-07-21,coffee,Takeout,2.44,Credit
2023-07-21,choux bakery,Takeout,13,Credit
2023-07-22,chaat corner ,Motives,11.94,Credit
2023-07-22,safeway,Grocery,57.68,Credit
2023-07-24,shef order,Takeout,12.71,Credit
2023-07-27,cafe du soleil,Motives,5.3,Credit
2023-07-27,laundry prepay,Miscellaneous,25,Credit
2023-07-27,shef order,Takeout,12.71,Credit
2023-07-28,joannas coffee,Takeout,4.89,Credit
2023-07-28,bahn mi ,Takeout,10.06,Credit
2023-07-29,instacart,Grocery,79.44,Credit
2023-07-29,stupidest popeyes doordash ever,Takeout,23.6,Credit
2023-07-30,amazon ,Miscellaneous,35.37,Credit
2023-07-30,shef order,Takeout,24.53,Credit
2023-08-01,target,Miscellaneous,54.54,Credit
2023-08-03,breakfast at usf ,Takeout,8.68,Credit
2023-08-03,mcds ,Takeout,15.96,Credit
2023-08-04,starbs,Takeout,4.6,Credit
2023-08-04,jai ho delivery,Grocery,31.2,Credit
2023-08-03,Key food market,Grocery,3.59,Credit
2023-08-04,clipper reload,School,20,Credit
2023-08-05,safeway ,Grocery,46.07,Credit
2023-08-06,lunch at brioche,Motives,17.43,Credit
2023-08-06,shef order,Grocery,20.35,Credit
2023-08-09,nick the greek lunch,Takeout,13.58,Credit
2023-08-09,starbs,Takeout,9.69,Credit
2023-08-09,thank you cards luckys,Miscellaneous,6.5,Credit
2023-08-10,key food market,Grocery,3.59,Credit
2023-08-14,clipper ,School,20,Credit
2023-08-14,starbs,Takeout,9.05,Credit
2023-08-16,boba w tanya,Takeout,11.5,Credit
2023-08-16,photobooth w tanya,Motives,5,Credit
2023-08-17,bball fee,School,5,Credit
2023-08-17,clipper,School,20,Credit
2023-08-17,fake whole food,Grocery,19.12,Credit
2023-08-17,key food market,Grocery,10.41,Credit
2023-08-20,clipper ,School,20,Credit
2023-08-21,shef ,Grocery,13.51,Credit
2023-08-21,koret activities ,Motives,80,Credit
2023-08-21,susiecakes ,Motives,8.38,Credit
2023-08-22,amazon,Miscellaneous,14.76,Credit
2023-08-22,safeway bonfire,Motives,8.99,Credit
2023-08-23,thrift stores on haight,Shopping,39.65,Credit
2023-08-23,sf postcard,Travel,5.38,Credit
2023-08-23,whole foods ,Grocery,5.99,Credit
2023-08-24,key food market,Grocery,15.08,Credit
2023-08-23,et bhumika,Motives,11.57,Credit
2023-08-26,safeway ,Grocery,54.67,Credit
2023-08-28,safeway,Grocery,23.5,Credit
2023-08-28,amazon,Miscellaneous,50.34,Credit
2023-08-28,korean soul chicken,Motives,18.41,Credit
2023-08-28,shef ,Grocery,17.4,Credit
2023-08-28,starbucks,Takeout,5.75,Credit
2023-08-28,cafe reveille,Takeout,7.44,Credit
2023-09-01,YH beijing noodles,Takeout,17.38,Credit
2023-09-01,doordash dashpss ,Subscriptions,9.99,Credit
2023-09-03,clipper,School,20,Credit
2023-09-03,shef,Grocery,28.47,Credit
2023-09-03,doordash safeway,Grocery,37.37,Credit
2023-09-04,starbs,Takeout,5.75,Credit
2023-09-05,jai ho,Grocery,25.76,Credit
2023-09-05,fake whole foods,Grocery,5.99,Credit
2023-09-05,udupi dinner,Motives,20.77,Credit
2023-09-07,clipper,School,20,Credit
2023-09-07,boba guys,Takeout,6.46,Credit
2023-09-08,amazon,Miscellaneous,10.86,Credit
2023-09-08,usf printing,School,5,Credit
2023-09-11,shef,Grocery,25.81,Credit
2023-09-11,muni ticket ,School,2.5,Credit
2023-09-11,target ,Clothes Shopping,16.29,Credit
2023-09-11,tarragon cafe,Motives,15.39,Credit
2023-09-11,doordash zaatar,Takeout,19.43,Credit
2023-09-12,trader joes,Grocery,55.24,Credit
2023-09-13,clipper,School,20,Credit
2023-09-14,safeway,Grocery,14.97,Credit
2023-09-16,shef,Grocery,26.91,Credit
2023-09-18,safeway,Grocery,20.8,Credit
2023-09-18,tarragon cafe,Takeout,6.25,Credit
2023-09-19,bobs donuts,Motives,7,Credit
2023-09-20,usf coffee,Takeout,4.61,Credit
2023-09-21,misc hair stuff,Other Shopping,56.84,Credit
2023-09-21,key food,Grocery,3.59,Credit
2023-09-21,shef,Grocery,26.91,Credit
2023-09-21,trader joes ,Grocery,25.66,Credit
2023-09-21,clipper,School,20,Credit
2023-09-22,cafe coffee,Takeout,4.07,Credit
2023-09-22,4505 burgers,Motives,14.92,Credit
2023-09-26,fake whole foods,Grocery,10.48,Credit
2023-09-26,starbs,Takeout,5.45,Credit
2023-09-26,mau mau lunch,Takeout,15.82,Credit
2023-09-29,bangkok bowl,Takeout,20.07,Credit
2023-09-30,trader joes ,Grocery,60.37,Credit
2023-09-30,shef ,Grocery,25.81,Credit
2023-09-30,the bird ,Motives,19.09,Credit
2023-09-30,tarragon cafe,Takeout,6.43,Credit
2023-10-02,clipper,School,20,Credit
2023-10-03,cafe coffee,Takeout,3.2,Credit
2023-10-05,wingstop,Takeout,21.05,Credit
2023-10-09,trader joes ,Grocery,66.97,Credit
2023-10-10,shef ,Grocery,25.71,Credit
2023-10-10,starbucks,Takeout,6.7,Credit
2023-10-12,cafe coffee,Takeout,4.89,Credit
2023-10-12,tarragon,Takeout,3.8,Credit
2023-10-13,airport food ,Travel,16.02,Credit
2023-10-13,airport smoothie,Travel,9.14,Credit
2023-10-13,airport snack,Travel,5.99,Credit
2023-10-14,cineplex w tanya,Motives,8.72,Credit
2023-10-14,tswift shirts ,Motives,47.08,Credit
2023-10-16,clipper,School,20,Credit
2023-10-20,safeway ,Grocery,38.05,Credit
2023-10-23,amazon ,House,50.9,Credit
2023-10-23,tarragon,Takeout,4.56,Credit
2023-10-23,laundry,House,25,Credit
2023-10-23,six flags ,Motives,22.94,Credit
2023-10-23,starbucks,Takeout,5.75,Credit
2023-10-23,clipper,School,20,Credit
2023-10-23,safeway ,Grocery,21.27,Credit
2023-10-24,jai ho ,Grocery,31.39,Credit
2023-10-24,safeway ,Grocery,47.33,Credit
2023-10-26,amazon ,Miscellaneous,16.17,Credit
2023-10-26,random,Miscellaneous,30.23,Credit
2023-10-30,shef ,Grocery,5.84,Credit
2023-10-30,smoothie bowl ,Motives,8.96,Credit
2023-10-30,starbucks,Grocery,5.45,Credit
2023-10-30,trader joes ,Grocery,44.13,Credit
2023-10-31,halloween headband,Motives,3.99,Credit
2023-10-31,escape from NY pizza,Motives,6.75,Credit
2023-10-27,Spotify,Subscriptions,12.67,Credit
2023-05-02,rifas bday gift ,Birthdays/Gifts,90.4,Credit
2023-05-02,starbs ,Fast Food,6.5,Credit
2023-05-04,flowers and lil cake for sheenz,Birthdays/Gifts,16.23,Credit
2023-05-05,solo date crepe :),Motives,10.7,Credit
2023-05-05,sheenz bday gift ,Birthdays/Gifts,39.58,Credit
2023-05-09,bubble tea ,Fast Food,12.77,Credit
2023-05-09,film ,Other Shopping,37.28,Credit
2023-05-09,sheenz bday gift ,Birthdays/Gifts,11.3,Credit
2023-05-13,gap nyc,Clothes Shopping,20.82,Credit
2023-05-13,gelato nyc,Travel,32.25,Credit
2023-05-14,souvenirs ,Travel,20.86,Credit
2023-05-14,hollister nyc,Clothes Shopping,11.36,Credit
2023-05-14,MET Tickets,Travel,47.28,Credit
2023-05-18,Amsterdam pub,Motives,23.62,Credit
2023-05-19,cake for rifa + earls,Birthdays/Gifts,32.08,Credit
2023-05-19,earls ,Motives,25,Credit
2023-05-20,lego flowers for tanya,Birthdays/Gifts,73.43,Credit
2023-05-21,dollarama - bridal shower ,Motives,13.71,Credit
2023-05-23,LA sub,Subscriptions,35.58,Credit
2023-05-27,harshitas bday gift,Birthdays/Gifts,19.2,Credit
2023-05-27,Spotify sub,Subscriptions,5.64,Credit
2023-05-31,starbs ,Fast Food,5.03,Credit
2023-05-31,transcript ,School,6.64,Credit
2023-05-29,bridal shower,Motives,178.22,Credit
2023-06-01,bach gift,Birthdays/Gifts,14,Credit
2023-06-01,silk pj shirt,Miscellaneous,25,Credit
2023-06-02,dynamite ,Clothes Shopping,39.49,Credit
2023-06-02,lulu bag,Other Shopping,49.72,Credit
2023-06-02,d spot ,Motives,31.53,Credit
2023-06-03,parking in dt,Miscellaneous,22.99,Credit
2023-06-03,tanyas bday ,Fast Food,12.47,Credit
2023-06-03,dollarama,Miscellaneous,5.93,Credit
2023-06-03,brandy melville,Clothes Shopping,49.72,Credit
2023-06-04,cafe23,Motives,7.34,Credit
2023-06-05,anams bach,Motives,170.67,Credit
2023-06-07,grad dress + heels + tna shorts,Clothes Shopping,221.35,Credit
2023-06-08,jack astors w alex & sheenam,Motives,32.35,Credit
2023-06-14,haircut + brows,Miscellaneous,74.58,Credit
2023-06-14,anam wedding gift,Birthdays/Gifts,28.24,Credit
2023-06-14,walmart,Other Shopping,48.3,Credit
2023-06-16,dollarama,Motives,18.08,Credit
2023-06-17,watan kabob,Motives,19.2,Credit
2023-06-17,sephora - face wash,Other Shopping,55.37,Credit
2023-06-17,starbs for tanya,Fast Food,3.41,Credit
2023-06-18,cocos for tanya,Fast Food,6.55,Credit
2023-06-19,tims ,Fast Food,2.3,Credit
2023-06-19,bbq groccery,Motives,7.98,Credit
2023-06-21,tims ,Fast Food,3.98,Credit
2023-06-22,transcript,School,3.22,Credit
2023-06-22,echo beach parking,Motives,35,Credit
2023-06-25,amazon membership,Subscriptions,1.38,Credit
2023-06-25,sweets + starbs ,Miscellaneous,29.22,Credit
2023-06-26,eddies w jared & arnab,Motives,33.11,Credit
2023-06-27,spotify sub,Subscriptions,5.64,Credit
2023-01-02,Film pics,Miscellaneous,15.81,Credit
2023-01-06,Pretzel at sq1,Fast Food,9.93,Credit
2023-01-07,brows,Miscellaneous,15.59,Credit
2023-01-10,gongcha w arnab,Motives,6.33,Credit
2023-01-10,locker at dbac,School,31.99,Credit
2023-01-11,tims at MUSC,Fast Food,3.97,Credit
2023-01-11,tims at MUSC,Fast Food,2.09,Credit
2023-01-13,smokes poutine,Motives,4.85,Credit
2023-01-14,dennys w anam and rifa,Motives,26.75,Credit
2023-01-12,et harshita for dynamite,Clothes Shopping,73.65,Debit
2023-01-16,iBooks (2 books),Other Shopping,15.8,Credit
2023-01-16,Tims at MUSC,Fast Food,2.88,Credit
2023-01-19,a bunch of tims and MUSC stuff,Fast Food,12.9,Credit
2023-01-20,Mr Puffs w Tanya,Fast Food,14.45,Credit
2023-01-21,Sephora,Other Shopping,38.87,Credit
2023-01-14,et harshita for filmy,Motives,16.35,Credit
2023-01-23,MUSC ,Fast Food,7.4,Credit
2023-01-24,LA freeze ,Subscriptions,11.3,Credit
2023-01-26,MUSC ,Fast Food,2.4,Credit
2023-01-27,Spotify sub,Subscriptions,5.64,Credit
2023-01-27,Mcds coffee,Fast Food,2.61,Credit
2023-01-30,musc tea,Fast Food,2.4,Credit
2023-02-01,squash w arnab,Motives,9.98,Credit
2023-02-01,starbs at musc,Fast Food,6.83,Credit
2023-02-02,musc tims,Fast Food,2.19,Credit
2023-02-03,dollarama for galentines gifts ,Birthdays/Gifts,14.13,Credit
2023-02-04,sweets and momos,Motives,26.78,Credit
2023-02-06,iced coffee and snack from tims musc ,Fast Food,5.18,Credit
2023-02-06,Haircut and brows ,Miscellaneous,59.66,Credit
2023-02-07,musc tea,Fast Food,2.4,Credit
2023-02-10,timbits for arnab ,Birthdays/Gifts,2.99,Credit
2023-02-09,starbs at musc (tall iced shaken espresso w caramel cold foam),Fast Food,5.3,Credit
2023-02-10,musc coffee,Fast Food,2.99,Credit
2023-02-14,dumplings from mini mac and coffee,Fast Food,7.37,Credit
2023-02-14,vday cupcakes for tanya,Birthdays/Gifts,5,Credit
2023-02-16,musc booster juice ,Fast Food,6.65,Credit
2023-02-17,cookies from Major at sq,Motives,15.57,Credit
2023-02-17,sephora (restock!),Other Shopping,92.1,Credit
2023-02-17,pink (bras),Clothes Shopping,67.8,Credit
2023-02-18,Sweat and tonic booking,Motives,33.9,Credit
2023-02-19,walmart ,Miscellaneous,22.15,Credit
2023-02-20,McDs,Fast Food,2.51,Credit
2023-02-21,eaton centre parking,Motives,28,Credit
2023-02-21,starbs + mcds,Fast Food,17.79,Credit
2023-02-22,starbs w alex,Fast Food,3.94,Credit
2023-02-24,anams bday present,Birthdays/Gifts,72,Credit
2023-02-24,LA sub,Subscriptions,11.3,Credit
2023-02-25,thrifting w tanya,Clothes Shopping,28.24,Credit
2023-02-25,wendys,Fast Food,7.2,Credit
2023-02-27,spotify,Subscriptions,5.64,Credit
2023-02-27,musc coffee,Fast Food,2.4,Credit
2023-02-28,musc coffee,Fast Food,2.61,Credit
2023-03-01,MUSC coffee,Fast Food,2.4,Credit
2023-03-03,BAM ticket - et dhir,Motives,27,Debit
2023-03-05,Starbs,Fast Food,6.16,Credit
2023-03-07,MUSC coffee,Fast Food,3.15,Credit
2023-03-08,Chatime,Fast Food,7.35,Credit
2023-03-09,sweater for tanya ,Birthdays/Gifts,30,Credit
2023-03-09,MUSC coffee,Fast Food,3.98,Credit
2023-03-09,alex bday stuff,Birthdays/Gifts,50.92,Credit
2023-03-08,walmart,Miscellaneous,7.55,Credit
2023-03-10,anams bday,Motives,65.98,Credit
2023-03-13,starbs,Fast Food,6.87,Credit
2023-03-15,starbs reload,Fast Food,20,Credit
2023-03-17,coffee,Fast Food,2.49,Credit
2023-03-21,wendys breakfast + coffee,Fast Food,8.86,Credit
2023-03-23,MUSC coffee,Fast Food,9.69,Credit
2023-03-24,LA sub,Subscriptions,11.3,Credit
2023-03-25,wine and cheese night ticket,Motives,10,Debit
2023-03-27,spotify ,Subscriptions,5.64,Credit
2023-03-27,MUSC coffee ,Fast Food,8.18,Credit
2023-03-27,earrings for me and tanya,Other Shopping,45.2,Credit
2023-03-28,MUSC ,Fast Food,4.7,Credit
2023-03-29,MUSC,Fast Food,2.4,Credit
2023-03-30,Mcds,Fast Food,16.91,Credit
2023-03-31,saphs subway,Birthdays/Gifts,7.9,Credit
2023-04-02,Shoppers,Other Shopping,45.17,Credit
2023-04-03,MUSC coffee,Fast Food,7.58,Credit
2023-04-04,Pins for tanya,Birthdays/Gifts,4.52,Credit
2023-04-04,MUSC coffee,Fast Food,2.4,Credit
2023-04-06,MUSC coffee ,Fast Food,2.4,Credit
2023-04-07,brows and upper lip,Miscellaneous,13.56,Credit
2023-04-10,grad registration,School,45,Credit
2023-04-10,MUSC coffee and crossiant,Fast Food,11.07,Credit
2023-04-11,Don toliver tickets!,Motives,91.25,Credit
2023-04-12,mac carnival day,Motives,21.59,Credit
2023-04-15,stats exam coffee and parking,Miscellaneous,11.66,Credit
2023-04-18,1mp3 pre exam coffee post exam food,Fast Food,21.58,Credit
2023-04-18,sephora sale haul,Other Shopping,146.69,Credit
2023-04-20,hollisterrrr haulll,Clothes Shopping,165.12,Credit
2023-04-24,LA membership rejoin,Subscriptions,37.93,Credit
2023-04-24,Aerie top,Clothes Shopping,21.22,Credit
2023-04-24,Pur and Simple,Motives,24.69,Credit
2022-12-01,Amazon,Other Shopping,40.36,Credit
2022-12-03,Gas ,Miscellaneous,30,Credit
2022-12-04,Shoe box for donation,Other Shopping,3.39,Credit
2022-12-07,Airpod Pros!,Other Shopping,161.77,Credit
2022-12-07,Nailsss,Other Shopping,39.55,Credit
2022-12-10,Food at Nissan,Miscellaneous,3,Credit
2022-12-14,chocolates for managers,Birthdays/Gifts,29.36,Credit
2022-12-14,Tims,Fast Food,3.98,Credit
2022-12-16,Sushi dinner,Other Shopping,32.71,Credit
2022-12-17,Bubbe tea,Fast Food,13.67,Credit
2022-12-17,Aerie & Ardene,Clothes Shopping,185.17,Credit
2022-12-17,Sephora,Other Shopping,71.19,Credit
2022-12-21,Starbs,Fast Food,6.5,Credit
2022-12-22,Pur&Simple w Anam,Motives,30.54,Credit
2022-12-22,Desert from Brazil Bakery for Alex's,Motives,17.82,Credit
2022-12-22,Nail stuff for Tanya from amazon,Birthdays/Gifts,58.19,Credit
2022-12-24,LA ,Subscriptions,11,Credit
2022-12-06,BAM Event et Harshita,Motives,32.84,Debit
2022-12-26,Spotify sub,Subscriptions,5.64,Credit
2022-12-26,Erin Mills Photo,Other Shopping,9.04,Credit
2022-12-28,Aritzia Parka,Clothes Shopping,355.95,Credit
2022-12-30,Cineplex drinks ,Motives,10.59,Credit
2022-11-05,Sephora sale,Shopping,128.42,Credit
2022-11-05,Earls,Restaurant,59.13,Credit
2022-11-08,Walmart,Birthdays/Gifts,31.93,Credit
2022-11-10,Wakanda Forever,Motives,14.22,Credit
2022-11-11,Panera,Restaurant,11.84,Credit
2022-11-11,Scaddabush,Restaurant,33.33,Credit
2022-11-12,Dynamite + Urban Bday haul ,Shopping,147.81,Credit
2022-11-13,Starbs,Fast Food,6.16,Credit
2022-11-13,BATL Axe throwing ,Birthdays/Gifts,30,Credit
2022-11-16,Chatters,Miscellaneous,15.59,Credit
2022-11-17,Starbs reload,Fast Food,20,Credit
2022-11-17,BAM Night ,Motives,52.96,Credit
2022-11-18,Hamilton parking + tea,Miscellaneous,7.07,Credit
2022-11-18,Point & Shoot from Katrina,Birthdays/Gifts,50,Debit
2022-11-23,Sephora,Shopping,29.38,Credit
2022-11-24,LA,Subscriptions,35.58,Credit
2022-11-25,Henrys film ,Miscellaneous,16.94,Credit
2022-11-26,Bday dinner + axe throwing,Birthdays/Gifts,171.71,Credit
2022-11-26,shoppers,Miscellaneous,4.49,Credit
2022-11-27,spotify ,Subscriptions,5.64,Credit
2022-11-30,starbs reload,Fast Food,20,Credit
2022-10-01,tims,Fast Food,5,Credit
2022-10-05,tims,Fast Food,4.19,Credit
2022-10-09,mcds,Fast Food,6.77,Credit
2022-10-11,tims,Fast Food,4.19,Credit
2022-10-14,trying bakery w tanya,Restaurant,4.5,Credit
2022-10-15,pur&simple w jared & arnab,Restaurant,34.44,Credit
2022-10-15,BAM Nov Event,Motives,27.54,Credit
2022-10-16,Baba's bday ,Birthdays/Gifts,144.61,Credit
2022-10-19,tims,Fast Food,3.45,Credit
2022-10-22,Chatime,Fast Food,7.35,Credit
2022-10-23,Starbs,Fast Food,2.8,Credit
2022-10-24,LA sub,Subscriptions,35.58,Credit
2022-10-25,Villa Madina & Tims,Fast Food,17.63,Credit
2022-10-27,Spotify,Subscriptions,5.64,Credit
2022-10-27,Walmart (halloween candy),Birthdays/Gifts,29.16,Credit
2022-10-28,Farahs,Miscellaneous,9.94,Credit
2022-10-30,Drink from Sweat&Tonic and parking  ,Motives,17.99,Credit
2022-10-30,Walmart groceries,Miscellaneous,22.76,Credit
2022-10-11,cash,Miscellaneous,40,Debit